created_at,tweet,near,clean_tweet,tokens,lemma,lemma_sentence,pos_tag,lemma_sentence(with POS),sentiword_analysis,vader_score,textblob_polarity,senti_textblob,senti_wordnet,senti_vader
2020-08-20,Corona its like a strange unreal horror movie everybody out there stay strong stay home and take care much love for all of you,United States,corona strange unreal horror movie stay strong stay home care love,"['corona', 'strange', 'unreal', 'horror', 'movie', 'stay', 'strong', 'stay', 'home', 'care', 'love']","['corona', 'strange', 'unreal', 'horror', 'movie', 'stay', 'strong', 'stay', 'home', 'care', 'love']",corona strange unreal horror movie stay strong stay home care love,"[('corona', 'n'), ('strange', 'a'), ('unreal', 'a'), ('horror', 'n'), ('movie', 'n'), ('stay', 'n'), ('strong', 'a'), ('stay', 'n'), ('home', 'n'), ('care', 'n'), ('love', 'n')]",  corona strange unreal horror movie stay strong stay home care love,0.875,0.7351,0.29444444444444445,1,1,1
2020-08-20,Im not a conspiracy theorist... But why did China set off a bioweapom (coronavirus)? And how are they profiting off it?,United States,not conspiracy theorist china set bioweapom coronavirus profiting,"['not', 'conspiracy', 'theorist', 'china', 'set', 'bioweapom', 'coronavirus', 'profiting']","['not', 'conspiracy', 'theorist', 'china', 'set', 'bioweapom', 'coronavirus', 'profiting']",not conspiracy theorist china set bioweapom coronavirus profiting,"[('not', 'r'), ('conspiracy', 'a'), ('theorist', 'a'), ('china', 'n'), ('set', 'v'), ('bioweapom', 'a'), ('coronavirus', 'n'), ('profiting', 'n')]",  not conspiracy theorist china set bioweapom coronavirus profiting,-0.625,0.6571,0.0,0,-1,1
2020-08-20,"Sooo, *has* anybody made a fan OC of COVID-19 for the Cells at Work world?",United States,made fan covid cells work world,"['made', 'fan', 'covid', 'cells', 'work', 'world']","['made', 'fan', 'covid', 'cell', 'work', 'world']",made fan covid cell work world,"[('made', 'v'), ('fan', 'n'), ('covid', 'a'), ('cells', 'n'), ('work', 'v'), ('world', 'n')]",  make fan covid cell work world,0.0,0.3182,0.0,0,0,1
2020-08-20,ChrisCuomo weeping for us all coronavirus Pray FirstResponders QuarantineLife family faith,United States,chriscuomo weeping coronavirus pray firstresponders quarantinelife family faith,"['chriscuomo', 'weeping', 'coronavirus', 'pray', 'firstresponders', 'quarantinelife', 'family', 'faith']","['chriscuomo', 'weeping', 'coronavirus', 'pray', 'firstresponders', 'quarantinelife', 'family', 'faith']",chriscuomo weeping coronavirus pray firstresponders quarantinelife family faith,"[('chriscuomo', 'n'), ('weeping', 'v'), ('coronavirus', 'n'), ('pray', 'n'), ('firstresponders', 'n'), ('quarantinelife', 'v'), ('family', 'n'), ('faith', 'n')]",  chriscuomo weep coronavirus pray firstresponders quarantinelife family faith,-0.75,0.1027,0.0,0,-1,1
2020-08-20,someone threw a corona virus party with 40 people in a 550sft apt with a whole ass dj in there..,United States,threw corona virus party people sft apt ass,"['threw', 'corona', 'virus', 'party', 'people', 'sft', 'apt', 'ass']","['threw', 'corona', 'virus', 'party', 'people', 'sft', 'apt', 'as']",threw corona virus party people sft apt as,"[('threw', 'n'), ('corona', 'n'), ('virus', 'n'), ('party', 'n'), ('people', 'n'), ('sft', 'v'), ('apt', 'a'), ('ass', 'n')]",  threw corona virus party people sft apt as,0.375,0.4019,0.6,1,1,1
2020-08-20,True. Human rights says alot regarding the disposal of the deadbody.! lka COVID19,United States,true human rights alot disposal deadbody lka covid,"['true', 'human', 'rights', 'alot', 'disposal', 'deadbody', 'lka', 'covid']","['true', 'human', 'right', 'alot', 'disposal', 'deadbody', 'lka', 'covid']",true human right alot disposal deadbody lka covid,"[('true', 'a'), ('human', 'a'), ('rights', 'n'), ('alot', 'n'), ('disposal', 'n'), ('deadbody', 'n'), ('lka', 'v'), ('covid', 'n')]",  true human right alot disposal deadbody lka covid,0.125,0.4215,0.2119047619047619,1,1,1
2020-08-20,The Coronavirus is a good lesson and reminder that the American people need a new government and a reliable source of information.,United States,coronavirus good lesson reminder american people government reliable source information,"['coronavirus', 'good', 'lesson', 'reminder', 'american', 'people', 'government', 'reliable', 'source', 'information']","['coronavirus', 'good', 'lesson', 'reminder', 'american', 'people', 'government', 'reliable', 'source', 'information']",coronavirus good lesson reminder american people government reliable source information,"[('coronavirus', 'n'), ('good', 'a'), ('lesson', 'n'), ('reminder', 'v'), ('american', 'a'), ('people', 'n'), ('government', 'n'), ('reliable', 'a'), ('source', 'n'), ('information', 'n')]",  coronavirus good lesson reminder american people government reliable source information,1.125,0.4404,0.35,1,1,1
2020-08-20,For real though can fsociety or MrRobot wipe out everyones debt during this COVID19 booochet?! Much appreciated yall,United States,real fsociety mrobot wipe everyones debt covid bochet appreciated yal,"['real', 'fsociety', 'mrobot', 'wipe', 'everyones', 'debt', 'covid', 'bochet', 'appreciated', 'yal']","['real', 'fsociety', 'mrobot', 'wipe', 'everyones', 'debt', 'covid', 'bochet', 'appreciated', 'yal']",real fsociety mrobot wipe everyones debt covid bochet appreciated yal,"[('real', 'a'), ('fsociety', 'n'), ('mrobot', 'n'), ('wipe', 'n'), ('everyones', 'n'), ('debt', 'n'), ('covid', 'n'), ('bochet', 'n'), ('appreciated', 'v'), ('yal', 'n')]",  real fsociety mrobot wipe everyones debt covid bochet appreciate yal,0.0,0.0516,0.2,1,0,1
2020-08-20,1/16 CORONA VIRUS GOD DID IT ?? NATURAL EVIL GOD DID IT?? JESUS HAND WASHING?,United States,corona virus god natural evil god jesus hand washing,"['corona', 'virus', 'god', 'natural', 'evil', 'god', 'jesus', 'hand', 'washing']","['corona', 'virus', 'god', 'natural', 'evil', 'god', 'jesus', 'hand', 'washing']",corona virus god natural evil god jesus hand washing,"[('corona', 'n'), ('virus', 'n'), ('god', 'a'), ('natural', 'a'), ('evil', 'n'), ('god', 'n'), ('jesus', 'n'), ('hand', 'n'), ('washing', 'v')]",  corona virus god natural evil god jesus hand wash,1.375,0.5423,-0.45,-1,1,1
2020-08-20,Fact:- The words Corona and Dalgona rhymes perfectly. Maybe this is the reason behind the trend dalgonaCoffee,United States,fact words corona dalgona rhymes perfectly reason trend dalgonacofe,"['fact', 'words', 'corona', 'dalgona', 'rhymes', 'perfectly', 'reason', 'trend', 'dalgonacofe']","['fact', 'word', 'corona', 'dalgona', 'rhyme', 'perfectly', 'reason', 'trend', 'dalgonacofe']",fact word corona dalgona rhyme perfectly reason trend dalgonacofe,"[('fact', 'n'), ('words', 'n'), ('corona', 'v'), ('dalgona', 'a'), ('rhymes', 'n'), ('perfectly', 'r'), ('reason', 'n'), ('trend', 'n'), ('dalgonacofe', 'n')]",  fact word corona dalgona rhyme perfectly reason trend dalgonacofe,0.5,0.6369,1.0,1,1,1
2020-08-20,"We need a stark reminder of the COVID19 challenges out there, we need to wake up and do better. 1/4",United States,stark reminder covid challenges wake,"['stark', 'reminder', 'covid', 'challenges', 'wake']","['stark', 'reminder', 'covid', 'challenge', 'wake']",stark reminder covid challenge wake,"[('stark', 'a'), ('reminder', 'n'), ('covid', 'n'), ('challenges', 'n'), ('wake', 'v')]",  stark reminder covid challenge wake,0.625,0.0772,-0.2,-1,1,1
2020-08-20,HERO OF THE TIME MURAD ALI SHAH PLEASE CHECK INCREASE IN THE CORONA VIRUS CASES YOU HAVE LEFT PUNJAB BEHIND BEST PERFORMANCE,United States,hero time murad ali shah check increase corona virus cases left punjab performance,"['hero', 'time', 'murad', 'ali', 'shah', 'check', 'increase', 'corona', 'virus', 'cases', 'left', 'punjab', 'performance']","['hero', 'time', 'murad', 'ali', 'shah', 'check', 'increase', 'corona', 'virus', 'case', 'left', 'punjab', 'performance']",hero time murad ali shah check increase corona virus case left punjab performance,"[('hero', 'n'), ('time', 'n'), ('murad', 'a'), ('ali', 'n'), ('shah', 'n'), ('check', 'n'), ('increase', 'n'), ('corona', 'n'), ('virus', 'n'), ('cases', 'n'), ('left', 'v'), ('punjab', 'a'), ('performance', 'n')]",  hero time murad ali shah check increase corona virus case leave punjab performance,0.5,0.6908,0.0,0,1,1
2020-08-20,"8,50,000 corona cases :( Numbers keep on increasing COVID19",United States,corona cases numbers increasing covid,"['corona', 'cases', 'numbers', 'increasing', 'covid']","['corona', 'case', 'number', 'increasing', 'covid']",corona case number increasing covid,"[('corona', 'n'), ('cases', 'n'), ('numbers', 'n'), ('increasing', 'v'), ('covid', 'n')]",  corona case number increase covid,-0.375,0.3818,0.0,0,-1,1
2020-08-20,"My co-worker, who's friend in Italy tested POSITIVE to the coronavirus, then after 32 DAYS he got sick from it. NO SYMPTOMS for 32!!.",United States,worker friend italy tested positive coronavirus days sick no symptoms,"['worker', 'friend', 'italy', 'tested', 'positive', 'coronavirus', 'days', 'sick', 'no', 'symptoms']","['worker', 'friend', 'italy', 'tested', 'positive', 'coronavirus', 'day', 'sick', 'no', 'symptom']",worker friend italy tested positive coronavirus day sick no symptom,"[('worker', 'n'), ('friend', 'n'), ('italy', 'n'), ('tested', 'v'), ('positive', 'a'), ('coronavirus', 'n'), ('days', 'n'), ('sick', 'v'), ('no', None), ('symptoms', 'n')]",  worker friend italy test positive coronavirus day sick no symptom,1.125,0.3182,-0.2435064935064935,-1,1,1
2020-08-20,so long as there be diagnostics of coronavirus all vital opportunities of sectors cease Illuminatti,United States,long diagnostics coronavirus vital opportunities sectors cease iluminati,"['long', 'diagnostics', 'coronavirus', 'vital', 'opportunities', 'sectors', 'cease', 'iluminati']","['long', 'diagnostics', 'coronavirus', 'vital', 'opportunity', 'sector', 'cease', 'iluminati']",long diagnostics coronavirus vital opportunity sector cease iluminati,"[('long', 'a'), ('diagnostics', 'n'), ('coronavirus', 'v'), ('vital', 'a'), ('opportunities', 'n'), ('sectors', 'n'), ('cease', 'v'), ('iluminati', 'n')]",  long diagnostics coronavirus vital opportunity sector cease iluminati,1.0,0.6124,0.025,1,1,1
2020-08-20,Anyone else hoping coronavirus is an elaborate AprilFoolsDay joke,United States,hoping coronavirus elaborate aprilfolsday joke,"['hoping', 'coronavirus', 'elaborate', 'aprilfolsday', 'joke']","['hoping', 'coronavirus', 'elaborate', 'aprilfolsday', 'joke']",hoping coronavirus elaborate aprilfolsday joke,"[('hoping', 'v'), ('coronavirus', 'n'), ('elaborate', 'a'), ('aprilfolsday', 'n'), ('joke', 'v')]",  hop coronavirus elaborate aprilfolsday joke,1.0,0.296,0.5,1,1,1
2020-08-20,please STOP LEAVING YOUR HOUSES AND TAKING THIS CORONAVIRUS STUFF AS A JOKE AND KEEP GOING OUT WITH FRIENDS AND STUFF SERIOUSLY,United States,stop leaving houses taking coronavirus stuff joke friends stuff,"['stop', 'leaving', 'houses', 'taking', 'coronavirus', 'stuff', 'joke', 'friends', 'stuff']","['stop', 'leaving', 'house', 'taking', 'coronavirus', 'stuff', 'joke', 'friend', 'stuff']",stop leaving house taking coronavirus stuff joke friend stuff,"[('stop', 'n'), ('leaving', 'v'), ('houses', 'n'), ('taking', 'v'), ('coronavirus', 'n'), ('stuff', 'n'), ('joke', 'v'), ('friends', 'n'), ('stuff', 'n')]",  stop leave house take coronavirus stuff joke friend stuff,0.5,0.4588,0.0,0,1,1
2020-08-20,DANG!!! I officially know someone that has tested positive for corona virus OML,United States,dang officially tested positive corona virus oml,"['dang', 'officially', 'tested', 'positive', 'corona', 'virus', 'oml']","['dang', 'officially', 'tested', 'positive', 'corona', 'virus', 'oml']",dang officially tested positive corona virus oml,"[('dang', 'n'), ('officially', 'r'), ('tested', 'v'), ('positive', 'a'), ('corona', 'n'), ('virus', 'n'), ('oml', 'n')]",  dang officially test positive corona virus oml,1.0,0.5574,0.22727272727272727,1,1,1
2020-08-20,So whos ready for everyone and there mother saying coronavirus isnt real April fools,United States,whos ready mother coronavirus isnt real april fools,"['whos', 'ready', 'mother', 'coronavirus', 'isnt', 'real', 'april', 'fools']","['who', 'ready', 'mother', 'coronavirus', 'isnt', 'real', 'april', 'fool']",who ready mother coronavirus isnt real april fool,"[('whos', 'n'), ('ready', 'a'), ('mother', 'r'), ('coronavirus', 'a'), ('isnt', 'n'), ('real', 'a'), ('april', 'n'), ('fools', 'n')]",  who ready mother coronavirus isnt real april fool,0.625,0.6002,0.2,1,1,1
2020-08-20,How cavalier politicians can be with people's property in the unfettered competition for the credit for saving their lives. coronavirus,United States,cavalier politicians people property unfettered competition credit saving lives coronavirus,"['cavalier', 'politicians', 'people', 'property', 'unfettered', 'competition', 'credit', 'saving', 'lives', 'coronavirus']","['cavalier', 'politician', 'people', 'property', 'unfettered', 'competition', 'credit', 'saving', 'life', 'coronavirus']",cavalier politician people property unfettered competition credit saving life coronavirus,"[('cavalier', 'n'), ('politicians', 'n'), ('people', 'n'), ('property', 'n'), ('unfettered', 'a'), ('competition', 'n'), ('credit', 'n'), ('saving', 'v'), ('lives', 'n'), ('coronavirus', 'n')]",  cavalier politician people property unfettered competition credit save life coronavirus,0.375,0.7003,0.0,0,1,1
2020-08-20,One things for sure: Corona Virus has been really good for the environment.,United States,things corona virus good environment,"['things', 'corona', 'virus', 'good', 'environment']","['thing', 'corona', 'virus', 'good', 'environment']",thing corona virus good environment,"[('things', 'n'), ('corona', 'v'), ('virus', 'r'), ('good', 'a'), ('environment', 'n')]",  thing corona virus good environment,0.75,0.4404,0.7,1,1,1
2020-08-20,Started buying the large bottles of wine so I wouldnt have more empties than I have days in quarantine strategies COVID19 WorkFromHome,United States,started buying large bottles wine wouldnt empties days quarantine strategies covid workfromhome,"['started', 'buying', 'large', 'bottles', 'wine', 'wouldnt', 'empties', 'days', 'quarantine', 'strategies', 'covid', 'workfromhome']","['started', 'buying', 'large', 'bottle', 'wine', 'wouldnt', 'empty', 'day', 'quarantine', 'strategy', 'covid', 'workfromhome']",started buying large bottle wine wouldnt empty day quarantine strategy covid workfromhome,"[('started', 'v'), ('buying', 'v'), ('large', 'a'), ('bottles', 'n'), ('wine', 'v'), ('wouldnt', 'a'), ('empties', 'n'), ('days', 'n'), ('quarantine', 'v'), ('strategies', 'n'), ('covid', 'v'), ('workfromhome', 'n')]",  start buy large bottle wine wouldnt empty day quarantine strategy covid workfromhome,0.25,0.1511,0.057142857142857134,1,1,1
2020-08-20,"Welcome to April, I hope this will get better soon, Covid19 soon disappear from the earth.",United States,april hope covid disappear earth,"['april', 'hope', 'covid', 'disappear', 'earth']","['april', 'hope', 'covid', 'disappear', 'earth']",april hope covid disappear earth,"[('april', 'n'), ('hope', 'v'), ('covid', 'a'), ('disappear', 'a'), ('earth', 'n')]",  april hope covid disappear earth,0.0,0.25,0.0,0,0,1
2020-08-20,"busy busy busy, so many things to do, pandemics create work. no doubt COVID19 DigDigDig FundsFundsFuns",United States,busy busy busy things pandemics create work no doubt covid digdigdig fundsfundsfuns,"['busy', 'busy', 'busy', 'things', 'pandemics', 'create', 'work', 'no', 'doubt', 'covid', 'digdigdig', 'fundsfundsfuns']","['busy', 'busy', 'busy', 'thing', 'pandemic', 'create', 'work', 'no', 'doubt', 'covid', 'digdigdig', 'fundsfundsfuns']",busy busy busy thing pandemic create work no doubt covid digdigdig fundsfundsfuns,"[('busy', 'a'), ('busy', 'a'), ('busy', 'a'), ('things', 'n'), ('pandemics', 'n'), ('create', 'v'), ('work', 'n'), ('no', None), ('doubt', 'n'), ('covid', 'v'), ('digdigdig', 'n'), ('fundsfundsfuns', 'n')]",  busy busy busy thing pandemic create work no doubt covid digdigdig fundsfundsfuns,1.25,0.4956,0.10000000000000002,1,1,1
2020-08-20,What do COVID19 and have in common? With no remorse theyll take your last breath or last dime.,United States,covid common no remorse theyl breath dime,"['covid', 'common', 'no', 'remorse', 'theyl', 'breath', 'dime']","['covid', 'common', 'no', 'remorse', 'theyl', 'breath', 'dime']",covid common no remorse theyl breath dime,"[('covid', 'a'), ('common', 'a'), ('no', None), ('remorse', 'n'), ('theyl', 'v'), ('breath', 'n'), ('dime', 'n')]",  covid common no remorse theyl breath dime,-0.5,0.2057,-0.3,-1,-1,1
2020-08-20,"Friends of a certain age, am I the only one playing the Is it a fever or is it a hot flash game? COVID19 ThisIsATerribleGame",United States,friends age playing fever hot flash game covid thisisateriblegame,"['friends', 'age', 'playing', 'fever', 'hot', 'flash', 'game', 'covid', 'thisisateriblegame']","['friend', 'age', 'playing', 'fever', 'hot', 'flash', 'game', 'covid', 'thisisateriblegame']",friend age playing fever hot flash game covid thisisateriblegame,"[('friends', 'n'), ('age', 'n'), ('playing', 'v'), ('fever', 'r'), ('hot', 'a'), ('flash', 'a'), ('game', 'n'), ('covid', 'n'), ('thisisateriblegame', 'n')]",  friend age play fever hot flash game covid thisisateriblegame,-0.375,0.6808,-0.07500000000000001,-1,-1,1
2020-08-20,Hoping that China says the CoronaVirus was an April fools joke haha,United States,hoping china coronavirus april fools joke haha,"['hoping', 'china', 'coronavirus', 'april', 'fools', 'joke', 'haha']","['hoping', 'china', 'coronavirus', 'april', 'fool', 'joke', 'haha']",hoping china coronavirus april fool joke haha,"[('hoping', 'v'), ('china', 'n'), ('coronavirus', 'n'), ('april', 'n'), ('fools', 'n'), ('joke', 'v'), ('haha', 'n')]",  hop china coronavirus april fool joke haha,1.0,0.3182,0.2,1,1,1
2020-08-20,Still waiting for God to tell us this was all a big April Fools joke! Pls maybe? COVID19 CoronavirusPandemic AprilFoolsDay,United States,waiting god big april fools joke pls covid coronaviruspandemic aprilfolsday,"['waiting', 'god', 'big', 'april', 'fools', 'joke', 'pls', 'covid', 'coronaviruspandemic', 'aprilfolsday']","['waiting', 'god', 'big', 'april', 'fool', 'joke', 'pls', 'covid', 'coronaviruspandemic', 'aprilfolsday']",waiting god big april fool joke pls covid coronaviruspandemic aprilfolsday,"[('waiting', 'v'), ('god', 'n'), ('big', 'a'), ('april', 'n'), ('fools', 'n'), ('joke', 'v'), ('pls', 'n'), ('covid', 'n'), ('coronaviruspandemic', 'a'), ('aprilfolsday', 'n')]",  wait god big april fool joke pls covid coronaviruspandemic aprilfolsday,1.125,0.1779,0.0,0,1,1
2020-08-20,Thank god coronavirus hasnt stopped new K-pop,United States,god coronavirus hasnt stopped pop,"['god', 'coronavirus', 'hasnt', 'stopped', 'pop']","['god', 'coronavirus', 'hasnt', 'stopped', 'pop']",god coronavirus hasnt stopped pop,"[('god', 'n'), ('coronavirus', 'n'), ('hasnt', 'n'), ('stopped', 'v'), ('pop', 'n')]",  god coronavirus hasnt stop pop,0.0,0.4567,0.0,0,0,1
2020-08-20,WHY ARE U USING COVID19 AS EXCUSE TO NOT GIVE SCHEDULE TO GOT7 WHEN OTHER GROUPS CAN???????,United States,covid excuse not give schedule groups,"['covid', 'excuse', 'not', 'give', 'schedule', 'groups']","['covid', 'excuse', 'not', 'give', 'schedule', 'group']",covid excuse not give schedule group,"[('covid', 'n'), ('excuse', 'n'), ('not', 'r'), ('give', 'v'), ('schedule', 'n'), ('groups', 'n')]",  covid excuse not give schedule group,-1.0,0.0772,-0.05,-1,-1,1
2020-08-20,Chopper out during corona virus lol south central does not sleep or care smh,United States,chopper corona virus lol south central not sleep care smh,"['chopper', 'corona', 'virus', 'lol', 'south', 'central', 'not', 'sleep', 'care', 'smh']","['chopper', 'corona', 'virus', 'lol', 'south', 'central', 'not', 'sleep', 'care', 'smh']",chopper corona virus lol south central not sleep care smh,"[('chopper', 'n'), ('corona', 'n'), ('virus', 'n'), ('lol', 'n'), ('south', 'a'), ('central', 'a'), ('not', 'r'), ('sleep', 'a'), ('care', 'n'), ('smh', 'n')]",  chopper corona virus lol south central not sleep care smh,-0.625,0.281,0.4,1,-1,1
2020-08-20,More free time bc corona and I STILL cant seem to figure out how to respond to ppl on bumble. I NEED HELP.,United States,free time corona figure respond bumble,"['free', 'time', 'corona', 'figure', 'respond', 'bumble']","['free', 'time', 'corona', 'figure', 'respond', 'bumble']",free time corona figure respond bumble,"[('free', 'a'), ('time', 'n'), ('corona', 'a'), ('figure', 'n'), ('respond', 'n'), ('bumble', 'n')]",  free time corona figure respond bumble,0.375,0.5106,0.4,1,1,1
2020-08-20,"Corona was a big early April fools joke haha, I get it haha.",United States,corona big early april fools joke haha haha,"['corona', 'big', 'early', 'april', 'fools', 'joke', 'haha', 'haha']","['corona', 'big', 'early', 'april', 'fool', 'joke', 'haha', 'haha']",corona big early april fool joke haha haha,"[('corona', 'n'), ('big', 'a'), ('early', 'a'), ('april', 'n'), ('fools', 'n'), ('joke', 'v'), ('haha', 'a'), ('haha', 'n')]",  corona big early april fool joke haha haha,1.125,0.6486,0.125,1,1,1
2020-08-20,Actually this year Corona is celebrating AprilFoolsDay by making all of us fool,United States,year corona celebrating aprilfolsday making fool,"['year', 'corona', 'celebrating', 'aprilfolsday', 'making', 'fool']","['year', 'corona', 'celebrating', 'aprilfolsday', 'making', 'fool']",year corona celebrating aprilfolsday making fool,"[('year', 'n'), ('corona', 'n'), ('celebrating', 'v'), ('aprilfolsday', 'a'), ('making', 'v'), ('fool', 'n')]",  year corona celebrate aprilfolsday make fool,0.625,0.2023,0.0,0,1,1
2020-08-20,I hope farting isn't among symptoms of Covid19 because the rate at which I have been farting since last week is alarming...,United States,hope farting not symptoms covid rate farting week alarming,"['hope', 'farting', 'not', 'symptoms', 'covid', 'rate', 'farting', 'week', 'alarming']","['hope', 'farting', 'not', 'symptom', 'covid', 'rate', 'farting', 'week', 'alarming']",hope farting not symptom covid rate farting week alarming,"[('hope', 'n'), ('farting', 'v'), ('not', 'r'), ('symptoms', 'n'), ('covid', 'v'), ('rate', 'n'), ('farting', 'v'), ('week', 'n'), ('alarming', 'v')]",  hope fart not symptom covid rate fart week alarm,-0.5,0.128,0.0,0,-1,1
